Country,Year,Patent Application Related to AI
Argentina,2013,1
Argentina,2016,1
Argentina,2017,1
Argentina,2018,7
Argentina,2019,8
Argentina,2020,10
Australia,2013,77
Australia,2014,84
Australia,2015,127
Australia,2016,240
Australia,2017,288
Australia,2018,465
Australia,2019,565
Australia,2020,895
Austria,2013,4
Austria,2014,2
Austria,2015,3
Austria,2016,10
Austria,2017,11
Austria,2018,12
Austria,2019,6
Austria,2020,15
Azerbaijan,2018,1
Belgium,2013,1
Belgium,2016,2
Belgium,2017,2
Belgium,2018,8
Belgium,2019,2
Belgium,2020,6
Brazil,2013,39
Brazil,2014,33
Brazil,2015,58
Brazil,2016,79
Brazil,2017,83
Brazil,2018,147
Brazil,2019,145
Brazil,2020,148
Brunei,2014,1
Bulgaria,2015,1
Bulgaria,2017,3
Bulgaria,2018,4
Bulgaria,2019,3
Bulgaria,2020,12
Canada,2013,112
Canada,2014,118
Canada,2015,184
Canada,2016,334
Canada,2017,419
Canada,2018,677
Canada,2019,751
Canada,2020,876
Chile,2014,1
Chile,2015,4
Chile,2017,1
Chile,2018,1
Chile,2019,1
China,2013,1956
China,2014,2484
China,2015,3946
China,2016,7956
China,2017,14803
China,2018,27588
China,2019,43810
China,2020,66071
Colombia,2015,2
Colombia,2017,2
Colombia,2019,2
Costa Rica,2019,1
Costa Rica,2020,1
Croatia,2015,1
Croatia,2018,2
Croatia,2019,1
Cuba,2020,1
Czechia,2013,1
Czechia,2017,1
Czechia,2018,1
Czechia,2019,1
Czechia,2020,3
Denmark,2013,8
Denmark,2014,11
Denmark,2015,21
Denmark,2016,15
Denmark,2017,19
Denmark,2018,23
Denmark,2019,14
Denmark,2020,17
Finland,2013,3
Finland,2014,11
Finland,2015,11
Finland,2016,8
Finland,2017,19
Finland,2018,37
Finland,2019,31
Finland,2020,36
France,2013,28
France,2014,33
France,2015,35
France,2016,66
France,2017,97
France,2018,184
France,2019,221
France,2020,282
Germany,2013,65
Germany,2014,67
Germany,2015,121
Germany,2016,235
Germany,2017,399
Germany,2018,635
Germany,2019,849
Germany,2020,1030
Greece,2014,1
Greece,2015,2
Greece,2016,4
Greece,2017,14
Greece,2018,9
Greece,2019,3
Greece,2020,5
Hong Kong,2016,4
Hong Kong,2017,1
Hong Kong,2018,14
Hong Kong,2019,1
Hungary,2013,2
Hungary,2014,1
Hungary,2015,8
Hungary,2016,5
Hungary,2017,6
Hungary,2018,3
Hungary,2019,4
Hungary,2020,2
India,2013,54
India,2014,49
India,2015,111
India,2016,156
India,2017,269
India,2018,270
India,2019,10
India,2020,5
Indonesia,2013,1
Indonesia,2016,2
Iran,2018,1
Ireland,2016,2
Ireland,2018,2
Israel,2013,9
Israel,2014,6
Israel,2015,16
Israel,2016,5
Israel,2017,21
Israel,2018,20
Israel,2019,21
Israel,2020,23
Italy,2013,10
Italy,2014,6
Italy,2015,11
Italy,2016,21
Italy,2017,29
Italy,2018,42
Italy,2019,60
Italy,2020,65
Japan,2013,354
Japan,2014,512
Japan,2015,739
Japan,2016,1358
Japan,2017,2379
Japan,2018,3581
Japan,2019,4240
Japan,2020,4262
Jordan,2017,1
Kenya,2016,1
Latvia,2017,1
Latvia,2020,1
Lithuania,2014,2
Lithuania,2015,4
Lithuania,2016,3
Lithuania,2017,4
Lithuania,2018,9
Lithuania,2019,2
Lithuania,2020,5
Luxembourg,2016,2
Luxembourg,2017,3
Luxembourg,2018,9
Luxembourg,2019,10
Luxembourg,2020,13
Malaysia,2013,14
Malaysia,2014,10
Malaysia,2015,18
Malaysia,2016,10
Malaysia,2017,13
Malaysia,2018,9
Malaysia,2019,1
Malaysia,2020,2
Mexico,2013,32
Mexico,2014,21
Mexico,2015,47
Mexico,2016,64
Mexico,2017,70
Mexico,2018,91
Mexico,2019,105
Mexico,2020,104
Morocco,2013,1
Morocco,2014,3
Morocco,2015,2
Morocco,2016,3
Morocco,2017,5
Morocco,2018,7
Morocco,2019,7
Morocco,2020,1
Netherlands,2013,2
Netherlands,2014,1
Netherlands,2015,5
Netherlands,2016,6
Netherlands,2017,5
Netherlands,2018,13
Netherlands,2019,24
Netherlands,2020,19
New Zealand,2013,7
New Zealand,2014,4
New Zealand,2015,17
New Zealand,2016,3
New Zealand,2017,10
New Zealand,2018,12
New Zealand,2019,5
Norway,2013,1
Norway,2014,2
Norway,2016,3
Norway,2017,2
Norway,2018,6
Norway,2019,5
Norway,2020,8
Oman,2016,1
Panama,2016,2
Peru,2015,2
Peru,2016,3
Peru,2018,3
Peru,2019,3
Peru,2020,12
Philippines,2015,4
Philippines,2016,3
Philippines,2017,1
Philippines,2018,2
Philippines,2019,7
Philippines,2020,2
Poland,2013,6
Poland,2014,8
Poland,2015,19
Poland,2016,14
Poland,2017,10
Poland,2018,19
Poland,2019,13
Poland,2020,8
Portugal,2014,1
Portugal,2015,5
Portugal,2016,10
Portugal,2017,6
Portugal,2018,11
Portugal,2019,3
Portugal,2020,8
Romania,2015,6
Romania,2016,2
Romania,2017,5
Romania,2018,5
Romania,2019,6
Romania,2020,9
Russia,2013,45
Russia,2014,83
Russia,2015,98
Russia,2016,137
Russia,2017,182
Russia,2018,210
Russia,2019,169
Russia,2020,189
Saudi Arabia,2018,2
Serbia,2013,1
Serbia,2014,1
Serbia,2015,1
Serbia,2016,2
Serbia,2017,2
Serbia,2018,5
Serbia,2019,4
Serbia,2020,5
Singapore,2013,26
Singapore,2014,36
Singapore,2015,33
Singapore,2016,51
Singapore,2017,111
Singapore,2018,201
Singapore,2019,151
Singapore,2020,52
Slovakia,2015,4
Slovakia,2020,4
Slovenia,2013,2
Slovenia,2015,2
Slovenia,2016,3
Slovenia,2018,4
South Africa,2013,1
South Africa,2014,3
South Africa,2016,3
South Africa,2017,3
South Africa,2018,4
South Africa,2019,1
South Africa,2020,6
South Korea,2013,291
South Korea,2014,365
South Korea,2015,457
South Korea,2016,1158
South Korea,2017,2376
South Korea,2018,4161
South Korea,2019,6595
South Korea,2020,8296
Spain,2013,22
Spain,2014,32
Spain,2015,37
Spain,2016,50
Spain,2017,52
Spain,2018,49
Spain,2019,46
Spain,2020,42
Sri Lanka,2016,1
Sweden,2013,13
Sweden,2014,3
Sweden,2015,6
Sweden,2016,12
Sweden,2017,11
Sweden,2018,31
Sweden,2019,16
Sweden,2020,23
Switzerland,2014,4
Switzerland,2015,3
Switzerland,2016,4
Switzerland,2017,2
Switzerland,2018,4
Switzerland,2019,3
Switzerland,2020,5
Taiwan,2013,47
Taiwan,2014,36
Taiwan,2015,47
Taiwan,2016,98
Taiwan,2017,186
Taiwan,2018,356
Taiwan,2019,497
Taiwan,2020,624
Thailand,2017,1
Tunisia,2020,1
Turkey,2013,3
Turkey,2014,2
Turkey,2015,4
Turkey,2016,8
Turkey,2017,11
Turkey,2018,18
Turkey,2019,25
Turkey,2020,46
Ukraine,2013,11
Ukraine,2014,22
Ukraine,2015,12
Ukraine,2016,4
Ukraine,2017,2
Ukraine,2018,4
Ukraine,2019,1
United Kingdom,2013,80
United Kingdom,2014,70
United Kingdom,2015,93
United Kingdom,2016,188
United Kingdom,2017,276
United Kingdom,2018,407
United Kingdom,2019,423
United Kingdom,2020,431
United States of America of America,2013,2230
United States of America,2014,2738
United States of America,2015,3930
United States of America,2016,6163
United States of America,2017,9851
United States of America,2018,13262
United States of America,2019,13873
United States of America,2020,12676
Uruguay,2017,1
Uruguay,2020,1
World,2013,5560
World,2014,6867
World,2015,10257
World,2016,18515
World,2017,32070
World,2018,52648
World,2019,72745
World,2020,96358
